Job Title,Location,Company Name,Job Skills
ERP Next Developer,DALWA COMPANY  -,"Sheraton, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · ERP System · PHP Development · Python · ERPNext · Frappe · JavaScript · SQL
AI Knowledge Systems & RAG Engineering Intern,Integrated Knowledge Dynamics -,"Nasr City, Cairo, Egypt ",Entry Level · IT/Software Development · AI · Machine Learning · Artificial Intelligence (AI) · LLM · Python · Research & Analysis · Software Development · RAG · LangChain
Senior Full Stack PHP Laravel Developer Remote,HIGHBASE TRADING W.L.L -,"Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · PHP · Laravel Framework · Vue.js · HTML · CSS · Python
IT & AI Engineer,Confidential -,"New Cairo, Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · IT Infrastructure Management · Artificial Intelligence · Machine Learning · Data Analysis · Python Programming · Network Security · Cloud Computing
Founding Developer,Confidential -,"Hurghada, Red Sea, Egypt ","Experienced · 2 - 15 Yrs of Exp · IT/Software Development · Full-Stack Development · Team Collaboration · Problem Solving · Backend Technologies (e.g., Node.js, Python, Java) · Frontend Frameworks (e.g., React, Angular, Vue) · C# · .Net · Python · SQL Server"
Data Analyst,HIGHBASE TRADING W.L.L -,"Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Data Analysis · SQL · Excel · Power BI · Python
Senior Full Stack Engineer,Confidential -,"Cairo, Egypt ","Experienced · 5 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python or Node.js · Google Could PLatform (GCP) · Puppeteer, Playwright, Selenium · SQL and NoSQL · Shopify/WooCommerce · LLMs · Retrieval-Augmented Generation"
Senior System Administrator,Confidential -,"6th of October, Giza, Egypt ",Experienced · 4 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Communication · Computer Science · Information Technology (IT) · Engineering · MCSA · networks · LAN
Application Support Engineer,Confidential -,"6th of October, Giza, Egypt ",Experienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Microsoft SQL Server · SQL Server · MongoDB · Linux · Linux Operating System · Database SQL Server · Database Management System
"Software Engineer (Backend, Quality-Focused)",Confidential -,"Cairo, Egypt ",Experienced · 5 - 19 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Python · Software Testing · Back-End Development · CI/CD
Software Engineer,TECHIE SERVICES LIMITED -,"London, United Kingdom ",Experienced · 2 - 20 Yrs of Exp · IT/Software Development · Software Development · Database Management · Unit Testing · Software Engineering · SDLC · Agile Methodologies · Python · Java · C#
Trainee Automation QA engineer,Vertex Technologies  -,"Cairo, Egypt ",Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Quality · Quality Assurance · Test Automation · Selenium · Software Testing · Bug Tracking · Analytical Thinking · Agile Methodologies · Manual Testing
Junior Process Engineer,Groupe- Atlantic -,"10th of Ramadan City, Cairo, Egypt ",Experienced · 1 - 2 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering · Mechanical Engineering · Production · Process · Manufacturing · Process Improvement · Python · Six Sigma
Junior Backend Developer ( ERP),Naba Soft  -,"Nasr City, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Backend Development · API Design · Database Management · Python · Java · Node.js · ERP · .Net
Python Developer - LLM,YO IT Consulting -,"Riyadh, Saudi Arabia ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · HTML
Middle Data Engineer,Vertex Technologies  -,"Cairo, Egypt ","Experienced · 2+ Yrs of Exp · IT/Software Development · Data Engineering · Python · Scala · Databricks · Snowflake · SQL · Relational Databases · Cloud Platforms (AWS, Azure, GCP)"
Senior Data Engineer,Vertex Technologies  -,"Cairo, Egypt ","Experienced · 4+ Yrs of Exp · IT/Software Development · Data Engineering · Python · Scala · Databricks · SQL · Dimensional Modeling · OLTP/OLAP · Cloud Platforms (AWS, Azure, GCP)"
Senior Data Scientist,Vertex Technologies  -,"Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · English B2 · Machine Learning · Statistical Analysis · Python · gradient boosting algorithms · LLM · Generative AI technologies · Big Data Technologies
Odoo Developer,Kandil Industries -,"New Cairo, Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Python Programming · ERP Implementation · API Integration · PostgreSQL · JavaScript · Problem Solving
Data Analyst Specialist,OPPO Egypt  -,"Nasr City, Cairo, Egypt ",Entry Level · 1 - 2 Yrs of Exp · Analyst/Research · Data Analysis · Data Visualization · Excel · Business Intelligence · Statistical Analysis · Problem Solving · Communication · Reporting · Python
PYTHON DEVELOPER,Capital Motion UAE -,"Dubai, United Arab Emirates ",Senior Management · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · HTML
Senior AI Engineer – Computer Vision & 3D Visual Perception,Geopro -,"Nasr City, Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Computer Vision · Machine Learning · Python Programming · PyTorch · 3D Visual Perception · Team Collaboration · 3D Data Processing · Problem Solving
Mid level Django Backend Developer,Software House Solution  -,"Heliopolis, Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · RESTful APIs · SQL · Git · Team Collaboration · Problem Solving · HTML
Big Data Engineer,Efada Technology -,"6th of October, Giza, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Computer Science · Database · Information Technology (IT) · Oracle · SQL · PLSql
Oracle Database Administrator (Oracle DBA) | Bahrain,Confidential -,"Cairo, Egypt ","Experienced · 5+ Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Technical Documentation · Scripting (Shell, Python) · Database Security · Disaster Recovery Planning · Linux/Unix Administration · Troubleshooting · Oracle Database Administration"
IT Infrastructure Specialist,Al Farouk For Educational Service  -,"Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · males_preferred · IT/Software Development · IT Infrastructure Management · Network Administration · Cloud Computing · Systems Administration · Cybersecurity · Virtualization · Problem Solving · Disaster Recovery · Technical Support
Senior Full Stack Developer,Advanced control -,"6th of October, Giza, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Laravel · Vue.js · MongoDB · Microservice Architecture · Python · HTML5 & CSS3 · SQL and NoSQL Databases · RESTful API Development · Version Control (Git)
Odoo Developer Team Lead,OdooTec -,"Cairo, Egypt ",Experienced · 8 - 10 Yrs of Exp · IT/Software Development · Odoo Development · Team Leadership · Python Programming
Senior Backend Developer,MyClicx LLC  -,"Downtown, Cairo, Egypt ",Experienced · 8+ Yrs of Exp · IT/Software Development · Backend Development · PHP · Database Management · System Architecture · Problem Solving · Python
Odoo Developer,Elsewedy industries -,"New Cairo, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Python Programming · IT · Computer Science · PostgreSQL
Founding Software Engineer (Full-Stack) – Remote/Egypt,RampartCyber -,"Durham, United States ","Experienced · 10 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Full-Stack Development · Frontend Frameworks (React, Angular, Vue.js) · Backend Development (Node.js, Python, Java) · Cybersecurity Fundamentals · RESTful API Design · Database Management (SQL, NoSQL) · Cloud Computing (AWS, Azure, GCP)"
Senior Full Stack Web Developer,Union Group -,"Obour City, Cairo, Egypt ",Experienced · 2+ Yrs of Exp · males_only · IT/Software Development · JavaScript · HTML5 · CSS3 · Shopify · CSS Javascript · REST · Webhooks · Git · PHP
AI Lead,Efada Technology -,"New Cairo, Cairo, Egypt ",Manager · 8+ Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Data management · ETL processes · Data privacy and compliance · Data analysis · Cloud data platforms · Stakeholder communication · LLM
Backend Developer,Charisma Design -,"Nasr City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Software Development · Docker · MySQL · MongoDB · Vue.js · PostgreSQL · Python
Financial planning and Analyst,Confidential -,"Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · Accounting · Commerce · Analyst · Analysis · Finance · Financial Analysis · Planning · Forecasting
Senior Full-Stack Engineer | Founding Engineer — [Egypt/Remote],RampartCyber -,"Durham, United States ","Experienced · 10 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Full-Stack Development · Frontend Frameworks (React, Angular, Vue.js) · Backend Development (Node.js, Python, Java) · Cybersecurity Fundamentals · RESTful API Design · Database Management (SQL, NoSQL) · Cloud Computing (AWS, Azure, GCP)"
Frappe Developer,LavaLoon -,"Nasr City, Cairo, Egypt ",Entry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Frappe Framework · ERPNext · Python · Problem Solving · Django · Django Framework
Senior Developer & Solutions Architect,5 Star Recruitment -,"Cairo, Egypt ","Entry Level · IT/Software Development · Solution Design · Software Architecture · Cloud Computing · Programming (Java, C#, Python, etc.) · Agile Methodologies · DevOps · System Integration · Technical Leadership · Problem Solving"
Software Engineer,Confidential -,"Orlando, United States ","Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Programming (Java, Python, C#, JavaScript) · Software Development · Collaboration · Database Management · Version Control (Git) · Agile Methodologies · Debugging · Testing and Quality Assurance"
Software Tester,Electro Pi -,"Maadi, Cairo, Egypt ",Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Testing · Quality Assurance · Test Case Design · Defect Tracking · Manual Testing · Automated Testing · Analytical Thinking
AI Engineer,Electro Pi -,"Maadi, Cairo, Egypt ",Experienced · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Machine Learning · Deep Learning · Python Programming · Data Analysis · PyTorch · TensorFlow · Statistical Modeling
Business Analysis Specialist,العاصي للتطوير العقاري -,"Maadi, Cairo, Egypt ","Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Project Management · Software Proficiency (MATLAB, Python, R) · Analytical Thinking · Problem Solving · Technical Reporting · Process Optimization"
Odoo Developer,Jaffangroup -,"Heliopolis, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Odoo Development · Python · Agile · Linux · Docker · AWS · Scrum Environments · API integrations · Python Scripting
Mobile Developer (Cross -Platform),Aliaict -,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Mobile Development · JavaScript · flutter · JSON · ci/cd · c++ · Python
AI Developer,Genesis AI -,"Cairo, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Artificial Intelligence · Deep Learning · Python Programming · Machine Learning · Algorithm Development · Data Analysis · TensorFlow · Data Preprocessing
IT Specialist,Jessour Misr -,"Abu Rawash, Giza, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Software Development · System Administration · Programming Language · Odoo ERP · Python
AI & N8N Automation Developer,Rocklis -,"Cairo, Egypt ",Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · Python Programming · n8n Workflow Automation · Software Development · Program Development
Data Visualization Engineer (Remote),North Star Staffing -,"Riyadh, Saudi Arabia ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · SQL · Software Development · Software Engineering · Computer Engineering
Econometric Data Analyst (Remote),North Star Staffing -,"Riyadh, Saudi Arabia ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel
Macroeconomic Modeling Specialist (Remote),North Star Staffing -,"Riyadh, Saudi Arabia ",Not specified · Human Resources · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · marketing · engineering · design · analysis · python
Lead Linux Kernel Engineer - Ubuntu,Canonical -,"Riyadh, Saudi Arabia ",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · linux · computer engineering · python · engineering · git
Go/Golang Developer - Ai Training,YO IT Consulting -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · CSS · Engineering · Git · HTML
Rust Developer - Ai Training,YO IT Consulting -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · computer science · information technology (it) · python · javascript · java · rust · software engineering
Ai Prompt Engineer - Remote,YO IT Consulting -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Python · Artificial Intelligence · Engineering · Java · C# · Computer Engineering
Remote Research Assistant,PULSE MEDIA (MENA REGION) -,"Dubai, United Arab Emirates ",Entry Level · R&D/Science · IT/Software Development · Analyst/Research · Research · C++ · Python · Administration · Latex · Linux · Mathematics
Sr. Cloud Engineer (m/f/d),Halian -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Information Technology (IT) · Engineering · Computer Science · Software Engineering · Software Development · AWS · Cloud
Data Scientist - Kaggle Grandmaster,YO IT Consulting -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Data Analyst (Engineer),Revolut -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Business Data Engineer,Boskalis -,"Dubai, United Arab Emirates ",Entry Level · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Business Development · Computer Engineering · SQL · Sales
Enterprise Development Lead (REMOTE),Jobgether -,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · Computer Engineering · Engineering
Lead Data Scientist,Astra Tech -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Python · Information Technology (IT) · SQL · Data Science · Java · Machine Learning
Process Engineer,Energy Job Search -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development
BUSINESS INTELLIGENCE LEAD (BI Lead),Astra Tech -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Business Intelligence · SQL · BI · Engineering · ETL
"Data Scientist - QuantumBlack, AI by McKinsey","QuantumBlack, AI by McKinsey -","Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Embedded Linux Field Engineering Manager (Americas only),Canonical -,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · engineering · computer engineering · software development · linux · software
"Golang Software Engineer, Commercial Systems",Canonical -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Mechatronics · Telecommunication · C++ · CAN
AI Developer - REMOTE,Jobgether -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Software Development · Information Technology (IT) · Analysis · Computer Science · C++ · Java
Data Scientist (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Data Scientist,Leapstrides Consulting -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
DevOps Engineer,MenaHire -,"Dubai, United Arab Emirates ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · DevOps · Software Development · Software Engineering · Engineering · Computer Engineering
Remote Senior DevOps Engineer,Jobgether -,"Dubai, United Arab Emirates ",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · DevOps · AWS · Software Engineering · Linux · Docker
Entry Level Data Analyst (Remote),PULSE MEDIA (EMEA REGION) -,"Riyadh, Saudi Arabia ",Entry Level · Accounting/Finance · IT/Software Development · Analyst/Research · microsoft office · information technology (it) · computer science · accounting · analysis · microsoft excel · data analysis
Data Scientist (Core),Revolut -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Data Scientist,1inch -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Data Scientist,MIS - Al Moammar Information Systems Co. -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
"AI Security Researcher (Bangkok Based, Relocation provided)",Agoda -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · information technology (it) · computer science · sales · engineering · english · communication skills · python
Graduate Talent Scientist,Canonical -,"Riyadh, Saudi Arabia ",Experienced · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · computer engineering · project management · python · engineering · sql
Senior Cyber Security Engineer – Critical Infrastructure Protection,Confidential Government -,"Riyadh, Saudi Arabia ",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · software development · cloud · python · cissp
Data Scientist (NLP Deep Learning Engineer),Revolut -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Lead Data Engineer (Insurance Industry Experience),emagine -,"Makkah, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Information Technology (IT) · Computer Science · Engineering · Software Development · Software Engineering · Computer Engineering · Java
Data Engineer II,Mozn -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · SQL · Telecommunication · Computer Engineering · Software Engineering
Data Engineer,Stellar Hunters -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL
Senior Data Modeler,emagine -,"Makkah, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · SQL · Microsoft Office · Analysis · ETL
Forward Deployed Engineer | New Graduate,Gecko Robotics -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · engineering · software development · software engineering · computer engineering · javascript
Reporting Analyst – Power BI & Vertica,Dicetek LLC -,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · sql · analysis · bi · power bi · reporting
Data Analyst with Tibco Spotfire skills,EPAM Systems -,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · analysis · sql · data analysis · python · quality
Learning & Development Manager,Marriott International -,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning
Process Engineer,Agile Consultants -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development
Senior Data Engineer | Dubai,Moove -,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software Development · Big Data · Data Warehouse
Data Analyst,Dicetek LLC -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Senior Applied Scientist,Inception -,"Dubai, United Arab Emirates ",Entry Level · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · SQL · Data Science · Java · Python
Junior Git Administrator / Version Control Specialist,Leader Investment Group - LIG -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · computer science · information technology (it) · software development · javascript · git · software · python
